timestamp,throughput,loss_rate,rtt
0,7.7,0.072,48.35
1,3.56,0.032,88.4
2,5.43,0.04,115.93
3,8.3,0.041,79.48
4,6.46,0.009,47.81
5,9.66,0.092,48.98
6,3.92,0.058,99.5
7,8.6,0.007,121.4
8,6.33,0.092,37.46
9,6.08,0.099,75.27
10,7.83,0.035,133.01
11,6.22,0.011,103.56
12,8.12,0.015,85.49
13,6.23,0.009,30.65
14,8.98,0.096,131.75
15,6.52,0.027,111.11
16,6.54,0.037,73.31
17,4.64,0.016,108.28
18,7.58,0.028,132.63
19,8.1,0.082,120.61
20,6.28,0.098,61.8
21,6.22,0.098,64.46
22,4.39,0.084,127.21
23,3.59,0.05,31.99
24,6.07,0.025,123.37
25,8.53,0.022,149.45
26,3.67,0.033,51.49
27,3.83,0.09,131.12
28,9.18,0.073,125.2
29,9.81,0.053,34.32
30,3.06,0.018,69.28
31,4.1,0.053,33.98
32,6.37,0.094,135.47
33,4.43,0.077,123.85
34,4.5,0.092,89.41
35,3.23,0.003,114.49
36,6.61,0.084,127.64
37,7.66,0.066,138.35
38,8.12,0.062,118.1
39,9.55,0.097,97.2
40,8.28,0.093,34.08
41,5.64,0.002,82.68
42,3.01,0.026,52.95
43,7.15,0.028,90.48
44,5.22,0.093,123.37
45,3.26,0.021,82.03
46,6.11,0.099,81.77
47,9.32,0.067,131.21
48,6.9,0.078,106.45
49,8.73,0.066,133.1
50,6.55,0.084,59.88
51,3.39,0.049,72.95
52,4.47,0.02,102.11
53,4.41,0.087,59.08
54,8.19,0.031,149.56
55,9.24,0.079,38.16
56,3.12,0.057,38.87
57,4.41,0.074,75.23
58,9.3,0.02,94.48
59,4.92,0.036,129.65
